,intent,snip
0,How to convert a list of multiple integers into a single integer?,"r = int(''.join(map(str, x)))"
1,how to convert a datetime string back to datetime object?,"datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')"
2,Averaging the values in a dictionary based on the key,"[(i, sum(j) / len(j)) for i, j in list(d.items())]"
3,zip lists in python,"zip([1, 2], [3, 4])"
4,Prepend the same string to all items in a list,['hello{0}'.format(i) for i in a]
5,regex for repeating words in a string in Python,"re.sub('(?<!\\S)((\\S+)(?:\\s+\\2))(?:\\s+\\2)+(?!\\S)', '\\1', s)"
6,Normalizing a pandas DataFrame by row,"df.div(df.sum(axis=1), axis=0)"
7,swap values in a tuple/list inside a list in python?,"map(lambda t: (t[1], t[0]), mylist)"
8,swap values in a tuple/list inside a list in python?,"[(t[1], t[0]) for t in mylist]"
9,Find next sibling element in Python Selenium?,"driver.find_element_by_xpath(""//p[@id, 'one']/following-sibling::p"")"
10,Python splitting string by parentheses,"re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)"
11,What's the most memory efficient way to generate the combinations of a set in python?,"print(list(itertools.combinations({1, 2, 3, 4}, 3)))"
12,Add Multiple Columns to Pandas Dataframe from Function,"df[['hour', 'weekday', 'weeknum']] = df.apply(lambdafunc, axis=1)"
13,BeautifulSoup - search by text inside a tag,"soup.find_all('a', string='Elsie')"
14,How do I turn a python datetime into a string,"my_datetime.strftime('%B %d, %Y')"
15,Parse string to int when string contains a number + extra characters,int(''.join(c for c in s if c.isdigit()))
16,adding new key inside a new key and assigning value in python dictionary,dic['Test'].update({'class': {'section': 5}})
17,Transforming the string representation of a dictionary into a real dictionary,"dict(map(int, x.split(':')) for x in s.split(','))"
18,How to select element with Selenium Python xpath,"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")"
19,Find matching rows in 2 dimensional numpy array,"np.where((vals == (0, 1)).all(axis=1))"
20,How to delete a record in Django models?,SomeModel.objects.filter(id=id).delete()
21,python convert list to dictionary,"dict([['two', 2], ['one', 1]])"
22,python convert list to dictionary,"dict(zip(l[::2], l[1::2]))"
23,how to set global const variables in python,GRAVITY = 9.8
24,"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M""","re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')"
25,"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M""","re.findall('([0-9]+|[A-Z])', '20M10000N80M')"
26,"How to use regular expression to separate numbers and characters in strings like ""30M1000N20M""","re.findall('([0-9]+)([A-Z])', '20M10000N80M')"
27,Extracting words from a string,"re.compile('\\w+').findall('Hello world, my name is...James the 2nd!')"
28,Convert string into datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()"
29,Python Requests getting SSLerror,"requests.get('https://www.reporo.com/', verify=False)"
30,removing data from a numpy.array,a[a != 0]
31,Map two lists into a dictionary in Python,"new_dict = {k: v for k, v in zip(keys, values)}"
32,Map two lists into a dictionary in Python,"dict((k, v) for k, v in zip(keys, values))"
33,Map two lists into a dictionary in Python,"dict([(k, v) for k, v in zip(keys, values)])"
34,Get the string within brackets in Python,"m = re.search('\\[(\\w+)\\]', s)"
35,"Python server ""Only one usage of each socket address is normally permitted""","s.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)"
36,How do i add two lists' elements into one list?,"list3 = [(a + b) for a, b in zip(list1, list2)]"
37,Python - Converting Hex to INT/CHAR,[ord(c) for c in s.decode('hex')]
38,How to sort in decreasing value first then increasing in second value,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
39,Repeating elements in list comprehension,"[y for x in range(3) for y in [x, x]]"
40,Doc,txt = open('file.txt').read()
41,How do you divide each element in a list by an int?,myList[:] = [(x / myInt) for x in myList]
42,python: dots in the name of variable in a format string,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})"
43,How to replace the white space in a string in a pandas dataframe?,"df.replace(' ', '_', regex=True)"
44,Python: most efficient way to convert date to datetime,"datetime.datetime.combine(my_date, datetime.time.min)"
45,Tuple to string,tst2 = str(tst)
46,get file creation & modification date/times in,time.ctime(os.path.getmtime(file))
47,get file creation & modification date/times in,time.ctime(os.path.getctime(file))
48,get file creation & modification date/times in,t = os.path.getmtime(filename)
49,get file creation & modification date/times in,os.path.getmtime(path)
50,get file creation & modification date/times in,print(('last modified: %s' % time.ctime(os.path.getmtime(file))))
51,get file creation & modification date/times in,print(('created: %s' % time.ctime(os.path.getctime(file))))
52,get file creation & modification date/times in,return os.path.getctime(path_to_file)
53,How to Close a program using python?,os.system('TASKKILL /F /IM firefox.exe')
54,Is there a generator version of `string.split()` in Python?,"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))"
55,Using Python String Formatting with Lists,""""""", """""".join(['%.2f'] * len(x))"
56,How to use regex with optional characters in python?,"print(re.match('(\\d+(\\.\\d+)?)', '3434.35353').group(1))"
57,How to remove parentheses and all data within using Pandas/Python?,"df['name'].str.replace('\\(.*\\)', '')"
58,Python: filter list of list with another list,result = [x for x in list_a if x[0] in list_b]
59,Generate all possible strings from a list of token,"print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])"
60,python how to search an item in a nested list,[x for x in li if 'ar' in x[2]]
61,Python - How to sort a list of lists by the fourth element in each list?,unsorted_list.sort(key=lambda x: x[3])
62,Python logging typeerror,logging.info('test')
63,How to make several plots on a single page using matplotlib?,"fig.add_subplot(1, 1, 1)"
64,Sort a Python dictionary by value,"sorted(list(x.items()), key=operator.itemgetter(1))"
65,Sort a Python dictionary by value,"sorted(dict1, key=dict1.get)"
66,Sort a Python dictionary by value,"sorted(d, key=d.get, reverse=True)"
67,Sort a Python dictionary by value,"sorted(list(d.items()), key=(lambda x: x[1]))"
68,Numpy elementwise product of 3d array,"np.einsum('ijk,ikl->ijl', A, B)"
69,print variable and a string in python,print('I have: {0.price}'.format(card))
70,How can I add a comment to a YAML file in Python,f.write('# Data for Class A\n')
71,How do I move the last item in a list to the front in python?,a = a[-1:] + a[:-1]
72,python - convert datetime to varchar/string,datetimevariable.strftime('%Y-%m-%d')
73,What's the most pythonic way of normalizing lineends in a string?,"mixed.replace('\r\n', '\n').replace('\r', '\n')"
74,How to find the real user home directory using python?,os.path.expanduser('~user')
75,In Python,T = [L[i] for i in Idx]
76,Iterate through words of a file in Python,words = open('myfile').read().split()
77,Summing 2nd list items in a list of lists of lists,[[sum([x[1] for x in i])] for i in data]
78,Summing 2nd list items in a list of lists of lists,[sum([x[1] for x in i]) for i in data]
79,Django order by highest number of likes,Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')
80,How to convert datetime.date.today() to UTC time?,today = datetime.datetime.utcnow().date()
81,How to perform element-wise multiplication of two lists in Python?,"[(a * b) for a, b in zip(lista, listb)]"
